Supplier,Part,Description,Quantity
Resortecnia,F174,Resorte de expansion,1
Resortecnia,F2276,Resorte de expansion,1
Resortecnia,F058,Resorte de expansion,8
Resortecnia,F066,Resorte de expansion,4
3DInsumos,,Polea GT2 N=20T ID=8mm,4
3DInsumos,,Correa GT2 cerrada L=122mm,1
3DInsumos,,Correa GT2 cerrada L280mm,1
,,Varilla rectificada L=100mm D=8mm,2
COPYONLINE,688zz,Rodamiento a bola,4
,,Arandela M3,32
,,Tuerca M3,30
,,Tuerca M8,1
,,Tuerca M2,24
,,Tornillo Allen M3 L=50mm,8
,,Tornillo Phillips M3 L=20mm,8
,,Tornillo Phillips M3 L=12mm,62
,,Tornillo Phillips M3 L=6mm,29
,,Tornillo Phillips M3 fresado L=8mm,16
,,Tornillo Phillips M2 L=12mm,16
,,Tornillo Phillips M2 fresado L=20mm,8
,,Tornillo Phillips M4 L=16mm,8
,,Inserto M3 L=5mm,55
,,Arandela M3 NdAl,2






